id,author,pubdate,description,sentimen
44,@MuhAdzi,5/4/24 3:22,Korup banget woi ðŸ˜‚,negatif
45,@rudiipapaya5208,5/4/24 2:30,Presiden prabowo tolong di tindak dong bea cukai yang jahatt,negatif
46,@MaximumH8,5/4/24 1:07,90% instansi pemerintah konoha sama aja kelakuannyaðŸ˜‚,negatif
47,@kouhaku632,5/4/24 0:25,"korupsi sudah menjadi tradisi yang mendarah daging Indonesia, tajam kebawah tumpul ke atas itu hukum Indonesia. WELLCOME TO KONOHAGAKURE",negatif
48,@nachtschatten8088,5/3/24 23:57,"sri mulyani : demi ekonomi republik indonesia??? . dimananya ya??. coba berikan salah satu contoh ekonomi republik indonesia berkembang, karna gua gk tau, yang gua tau petinggi-petinggi yang korup, wkwkwkwkwk",negatif
49,@cekinid,5/3/24 22:45,"Satu Kata ""Kualat"", yakin rizkinya tidak barokah",negatif
50,@rahmadprananda2991,5/3/24 10:26,Kepala kantor nya malah nyengir ðŸ˜… abis di desak loh ama mentri ga malu apa,negatif
51,@hanz144,5/3/24 8:04,Aku orang Malaysia kenapa jadi marah dengan bea cukai ?,netral
52,@THEMASTERRANGGA,5/3/24 7:53,GAK TAU HIBAH APA GATAU DIRI UDH DIGAJI MASIH AMBIL BARANG ORANG BEJANCUKAI,negatif
53,@tiarbbs6766,5/3/24 4:13,Slalu ada cerita diplanet bumi ini,netral
54,@sujitosujito6402,5/3/24 3:30,"Motto bea cukai kalau bisa dipersulit, kenapa mesti dipermudah",negatif
55,@bennyconstantine7593,5/3/24 2:46,Semua barang yg lewat bea cukai hrs Dimainkan kecuali barang2 milik org2 departemen keuangan....pasti bea cukai TTS.....bukankah hal tsb udah terjadi dari dulu...knp baru diributkan skrng....??????,negatif
56,@TiparNanut,5/3/24 2:18,"Mencari ilmu untuk jabatan Jabatan untuk mencari kekayaan. Ketika seseorang terjun dikepemerintahan, Hartanya bertambah, dialah pencurinya ( imam syafei )",negatif
57,@hakakkaiai99,5/2/24 20:44,"Dia simpan itu alat, semoga kepake sama anak2 keturunan bea cukai.",negatif
58,@fachriamalluddin6353,5/2/24 19:02,Bea cukai sinting,negatif
59,@ibrahimthoriq8665,5/2/24 18:48,Pecat! !!!! Mau minta jatah Preman itu namanya,negatif
60,@dharmaeo8725,5/2/24 10:55,Cukai korup !!!,negatif
61,@JembutTirex,5/2/24 10:51,Beacukai isinya binatang semua..,negatif
62,@omanrachman6952,5/2/24 9:19,"Hak org cacat di embat juga, parah ... parah... ðŸ˜‚ðŸ˜‚",negatif
63,@didotwijaya4726,5/2/24 9:04,Mau sampe kpan begini terud,negatif
64,@mimosavermillion9269,5/2/24 8:41,Ini pelayan masyarakat apa perampok masyarakat,negatif
65,@salsabillafitriazzahra6364,5/2/24 8:07,Perampokkkkk,negatif
66,@kelvinnew1515,5/2/24 6:09,"Semoga kasus ini sampai terdengar ke negara lain, biar malu mereka",negatif
67,@ahmadpramuja2870,5/2/24 6:03,Bea cukai sarang mafia,negatif
68,@kiryuunaga1olivians100,5/2/24 5:13,"Bukan cuma pelayan di bea cukai yang perlu di tingkatkan tapi juga moral, masa alat bantu SLB masih juga di pakai bisnis",negatif
69,@awansetiawan1151,5/2/24 4:24,Bilang gak tahu hibah. Coba tutup mata. Mmmmmm,negatif
70,@miss_ary3748,5/2/24 4:15,ðŸ˜‚ðŸ˜‚ ngeriiiiiii,negatif
71,@clanraigatsu3392,5/2/24 4:12,Beacukai itu tidak berguna mereka hanya pecundang yang cuman merampas mengatas namakan negara,negatif
72,@nakatoru2474,5/2/24 3:52,Semoga tuhan menyediakan tempat kusus di neraka untuk mereka,negatif
73,@hdrchanel8232,5/2/24 2:35,kenapa setelah viral jd bebas bea masuk....dan di serah kan sambil fotoÂ²..... heloo bea cukai katanya anda menjalan kan peraturan....knpa tibaÂ² bs berubah. ..harus nya tetap di tahan saja agar netizen seindonesia jd lawan anda,negatif
74,@ahmadsyarif9182,5/2/24 2:17,saya setuju jika kepala dirjen bea cukai di ganti. kurang ajar,negatif
75,@ishaqtsaqofi1245,5/2/24 1:53,Yang penting dpt duit lah yah,negatif
76,@agusr.nugroho6174,5/2/24 0:20,"@ Menkeu Bu Sri Mulyani. Di Makassar juga terjadi terhadap SLB A Yapti Makassar. Ada sumbangan dari Timur Tengah berupa laptop tertahan jg di Bea Cukai Makassar. DENGAN VIRAL nya berita ini. Pagi tanggal 2 Mei 2024. Pihak SLB sudah didatangi oleh pihak Bea Cukai. Apa semua harus VIRAL DULU baru sigap???ðŸ˜‚ Pro aktif lah dalam pelayan publik. Jangan Reaktif. Sikap aparat yg seperti pemadam kebakaran, kalau ada masalah/viral baru bergerak. Padahal itu barang sumbangan atsu hibah untuk kaum difable. Tolong Bu Menkeu. Aparat itu perlu punya empati dan kepedulian kepada pendidikan Bangsa ini. Terima kasih.",negatif
77,@donioleng877,5/1/24 23:42,Giliran Viral aja kayak gitu ðŸ˜‚ðŸ˜‚ðŸ˜‚,negatif
78,@aguspatihware1059,5/1/24 21:36,Matamu dilebarkan jangan liat barang hibah buat anak cacat pun dibuat bisnis yg memberi dimintain duit pemerintahan apa ini,negatif
79,@surabitea387,5/1/24 21:23,Bea cukai pernah di bekukan pada masa presiden soeharto selama 10 tahun dari 1985 hingga 1995 karena menjadi sarang pungli Apakah akan terjadi kembali di era pemerintahan baru prabowo ?,negatif
80,@khoirunnasikin9158,5/1/24 19:12,No viral no diserahkan,negatif
81,@adiardiyaansah9760,5/1/24 18:10,Gak Ada otak\',negatif
82,@reload3131,5/1/24 11:27,"sudah tak membantu kebutuhan pendidikan rakyat, malah memberi penderitaan. meskipun sudah diberitahu barang hibah mustahil diselesaikan kalau tak mencuat ke permukaan. oknum bea cukai hanya melihat angka bukan hati.",negatif
83,@f.s.firdaus8106,5/1/24 10:43,Audit binatang-binatang ini!,negatif
84,@andylyanyandrean6111,5/1/24 8:48,Citra bea cukai Indonesia terburuk di dunia....pemeras harta rakyat....pantasan pada kaya2 semua...ngak selamat dunia dan akhirat....,negatif
85,@Nurmala21-sz5hd,5/1/24 5:09,Kami pendukung psslon no 02 pkknya klo bpk prabowo sdh di.lantik jd presiden kepala bea cukai sdr ASKOLANI tendanng alias buang dan kroni2 krn sdh viral.memalukan indonesia di seluruh dunia bahwa lembaga bea cukai adalah lembaga pungli tukbg palak tukang peras nah nitizen klo mau tahu PREMAN BERSERAGAM INI NI BEA CUKAI. Harus kita habiskan,negatif
86,@bambangwijaya3686,5/1/24 1:59,Makin parah aja diluar ngak kaya gini memalukan,negatif
87,@fazrulachmad,5/1/24 1:42,Luaar biasaa meresahkan masyarakat bea cukai ini.. pungli luar biasaa...,negatif
88,@akmalponsel2818,5/1/24 1:25,Photo2 kalian... Alamak..,netral
89,@amitaputri1384,4/30/24 23:53,Iiihhhh..nunggu viral baru dikasih barangnya..pake foto2 lagi ðŸ¤® Benerin tuh pegawai ama sistem bea cukai ðŸ˜¤,negatif
90,@JurixBadeg-wq7sl,4/30/24 23:50,"tailah bea cukai pelayanan sangat buruk,,, rakyat Indonesia kecewa",negatif
91,@dirhamhadinov,4/30/24 23:31,ratusan juta yaðŸ˜‚ðŸ˜‚!! teruslah bwrbuat begitu sampai bisa beli jet pribadi dan rubicon 3ðŸ˜‚,negatif
92,@natuyacarindo4160,4/30/24 21:47,"Ayok nitizen kulitin bea cukai,,apa lagi harta yg haram haram,,kita sorot tindak tanduk mereka",negatif
93,@leekim4417,4/30/24 20:33,"beacukai konyol..! mereka mau ngomong regulasi import atau apapun jg, seharusnya mereka gunakan kecerdasan kalian, itu barang sumbangan utk sekolah berkebutuhan khusus. mereka hrs buka mata hati dan mata fisik yg benar, baca, bukannya malah dipersulit. 2 thn tertahan dan mereka mulai berfikir stlh ramai dibicarakan dan jd viral. keterlaluan,",negatif
94,@chaplinjeplin6948,4/30/24 19:23,Harusnya oknum seperti ini yg di demo  dilengserkan.,negatif
95,@didotwijaya4726,4/30/24 18:17,Kasian anaknya dikasih makan pake duit ......,negatif
96,@absolutsoul2573,4/30/24 12:08,Ini sungguh sangat memalukan demi kemajuan bangsa terutama penyandang cacat.. alat yg di hibahkan bukan di beli kok ya tega betul di tahan hingga lebih dr 1 tahun hanya Krn tak bayar pajak bea cukai.. pantas banget jika para orang pintar PD lari dr negri sendiri.. Coba klo import alutsista buat negara ini kira2 berani gk pihak bea cukai tarik pajak ? ðŸ¤£ðŸ¤£ KETERLALUAN Betul juga sih kata Luhut jika SDM kita tuh d bawah standart ya termasuk para pejabat bea cukai.. gk bisa memilah dan memilih mana utk kepentingan umum dan pribadi... Mestinya pejabat bea cukai kita diambil dr China aja ðŸ¤£ðŸ¤£ðŸ¤£,negatif
97,@dinonamnam1364,4/30/24 9:16,"BEA CUKAI GEROMBOLAN PEMERAS PALING RAKUS DAN MENJIJIKAN !! KPN HARUS MEMERIKSA SEMUA KEKAYAAN GEROMBOLAN ( MALING ) GK ADA OTAK !! POKOKNYA PERIKSA SEMUA GEROMBOLAN PEMERAS YG BERKEDOK "" BEA CUKAI """,negatif
98,@anwaranas2736,4/30/24 7:36,"Barang nya saja hibah, disuruh tebus 360jt, bilangnya orangnya gak ngurus barangnya makanya tertahan 2thn. Gimana Mau diurus",negatif
99,@android_kami2071,4/30/24 5:21,pecat sajah ....saya dukung pecat anggota bea cukai nakal ..curang rakus,negatif
100,@ridartau,4/30/24 4:57,Becukai korupsi,negatif
101,@Otsutsuki362,4/30/24 4:40,Gunanya cukai apa bang,negatif
102,@ILoveYou-uj3vs,4/30/24 1:47,"Jajaran lu sampah smw, Sri. Ketahuan bobroknya pas kasus Mario Dendy.",negatif
103,@rifulz,4/30/24 1:21,"Sekelas barang ""bantuan hibah"" ""Pendidikan slb"" Saja masih dipajakin dan denda 360 jt sungguh membag*ngkan sekali, itu yang majakin dan ngasih denda nya, udah kelamaan hilang hati nurani kah? ðŸ˜‚",negatif
104,@y.sofyansyarif5990,4/29/24 23:50,"Banyak ngeles, banyak alasan ... Pecat saja .. tuman",negatif
105,@rusiandreas1723,4/29/24 23:47,Anak2 yg berkebutuhan Khusus Sudah mendapat ujian hidup selama hidup mereka..tapi saat mereka perlu alat2 malah dipersulit..sunnguh tidak Berhati Nurani orang2 seperti iniâ€¦kalo perlu buat anak2 SLB semua nya free buat penunjang sekolah mereka..pemerintah harusnya memberi fasilitas..ubahlah peraturannya demi kemanusiaan untuk anak2 difabel,negatif
106,@andriprasetya7545,4/29/24 23:36,"Kok peraturan kayak begini tdk di tinjau ulang, katanya adil makmur....",negatif
107,@ajifarhan1806,4/29/24 22:23,Rezim dnguu,negatif
108,@suyanto4246,4/29/24 21:37,Drama ðŸ¤¡ðŸ¤¡,negatif
109,@tatangadiyanto1542,4/29/24 20:50,Ya mundur kepala bea cukai nya sebagai bentuk moral .,netral
110,@sunangeseng9332,4/29/24 20:46,ðŸ¤¥ Kalo sdh viral baru bebas melenggang kangkung dg dalih tdk tahu informasinya ðŸ¤”,negatif
111,@sobatwarna,4/29/24 20:00,Usut beacukai,negatif
112,@ZarulhisyamLampamjawa,4/29/24 19:31,"ðŸ˜‚ah joget joget ... Ok gas oke gas ok gas...ahhhhh...gemoyyy joget joget ...eccceeewahhh ewahhh, joget sihhh...Anjarrr biar rakyat sipil hidup merempat turun temurun miskin extrem ..dan ada yang mati kerbuluran asal berkorban demi pimpinan Permerintah jokowiks monters buto ijo ðŸ§Ÿâ€â™‚ï¸ satu destinasi keluarga nya kaya raya sama sekutu kronisme maling uwang kantong negra..corupsi ,ka projek berbagi sama sama...money loundre ,,yang sepatutnya menjadi hak2 milik rakyat sipil bersama...ewahhh jogettt ok gas ok gas...ðŸ˜‚anjarrr wakaka",netral
113,@mardalihsyarif8890,4/29/24 18:28,Akibat banyak hutang apa aja di pajakin,negatif
114,@diditaja6359,4/29/24 17:53,Bosok....ntar susah mati baru tau rasa,negatif
115,@diditaja6359,4/29/24 17:50,Kualat...perut busung bru tau rsa,negatif
116,@deejooanset3099,4/29/24 17:46,Percuma disidak tetap aj pungli korupsi udh jadi mental pegawainya!!!,negatif
117,@user-wo9fz3jl8s,4/29/24 16:26,"Tanjung perak,sama jga bnyak maling d Bea cukai nya,,,",negatif
118,@dmandaya9790,4/29/24 16:08,"Hidup koruptor,jaya slalu ...hebatnya negriku",negatif
119,@ulyajavapor4642,4/29/24 15:52,Udh viral baru dikasihin dong.. masa iya baru tau klo itu paket hibah dr th 2022ðŸ˜…,negatif
120,@user-nb6uu3vp6b,4/29/24 15:28,"Ayo hancur kan bea cukai banyak sekali merugikan rakyat, ini kebetulan aja viral coba kalau gak pasti di peres, orang mah SLB aja sekolah harusnya gratis dpt tempat spesial yg nyaman kasian lah ini malah mau di peras kejem kali untung aja viral, bandot2ðŸ˜”",negatif
121,@iblesbosuok,4/29/24 15:19,Bukan ulah oknum. Ini efek _system negara_ yg busuk. Biang kebusukan _system negara_ adalah *POLITISI* titik,negatif
122,@rezaradityo3094,4/29/24 15:13,viral dulu baru di tangani dan ini berulang2 kapan ya negeri ini bisa bebas dari hal2 seperti ini,negatif
123,@muhammadimron,4/29/24 14:41,Gak viral gak di urus,negatif
124,@Banyu_Biru,4/29/24 14:29,pegawai bea cukai harus di pecat !!!,negatif
125,@surototo4058,4/29/24 14:26,Otak...otak...dasar otak udang.bubarin aja tuh..,negatif
126,@ffvgdh4128,4/29/24 14:12,BUBAR KAN SAJA BEACUKAK SEKARANG ITU.NGAK BERGUNA.SABU SABU LOLOS SEMUA.,negatif
127,@user-vo4os1xe1b,4/29/24 13:57,Ganti pegawai bea cukai yg buat masalah..masih banyak orang yg butuh kerja ..,negatif
128,@noelgassing23,4/29/24 13:34,"Bea cukai, shame on you ðŸ˜Š",negatif
129,@user-gv8bv3cb5c,4/29/24 13:21,"Udah bubarkan bea cukai , kerjanya memeras orang melulu",negatif
130,@edosetiawan-ut2fd,4/29/24 13:20,Saya mah gak heran orang mentrinya aja banyak korupsi apalagi bawahannya mantapp,negatif
131,@damarmar9482,4/29/24 13:19,bea cukai banyak meras tki bukti enggak ada .tapi bisa d buktikan,negatif
132,@Nuripp-yy8if,4/29/24 13:18,"Lama2 ga ngotak ini, sy sering dulu kalo beli barang dr ebay mreka pake patokan harga tertinggi di online buat acuan ppn pph dan bea masuk nya, biarpun dapet barang bidding (yg sering nya dapet lebih murah) ttep aja cukai nya selangit karna mreka cari pembanding harga nya yg tertinggi",negatif
133,@raanbillal208,4/29/24 13:15,Sekardus aja seharga 300 jt..,negatif
134,@sonyagung4507,4/29/24 13:15,"Semoga anak pegawai Bea Cukai kalau punya anak banyak yg sekolah SLB, Autis",negatif
135,@ekasariiekasarii7844,4/29/24 13:12,Musti di musnahkan bunuh pekerja Biya cukai itu gila banget,negatif
136,@dweehasan4532,4/29/24 13:05,"Sejak jkw presiden bea cukai sangat berbeda terlalu rakus, waktu itu saya sering pp bdo-sin",negatif
137,@Nuripp-yy8if,4/29/24 13:19,Giliran kasus kmrn (alun dan kroni nya) perlahan ngilang kabarnya gmn wkwk,negatif
138,@haryono9779,4/29/24 13:04,Gatotnya harus di ganti karna kurang bisa melihat kondisi,negatif
139,@BroJon-uk2ws,4/29/24 13:04,"Coba itu barang punya nya jan ethes, pasti....???? ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚",negatif
140,@testimonisaya7599,4/29/24 12:54,Alesan kaga dapet informasi hibah. Bilang aja butuh duit eh salah sasaran. Padahal tiap hari brapa ratus juta lu sikat. Aahhh basi,negatif
141,@Sgs_tv,4/29/24 12:52,"pagar makan tanaman, pecat pegawai bea cukai yang tagih itu, serta atasannya perlu diaudit kekayaannya ..",negatif
142,@nurselamet1434,4/29/24 12:52,"Menjelang pilpres bagi Bansos tanpa kendali ,pasca pilpres saatnya rakyat dicekik. Oh Indonesiaku....negri sejahtera untuk para koruptor.",negatif
143,@sidhartagodjali,4/29/24 12:52,Rakus2 oknum beacukai sama spt pajak,negatif
144,@pemudabatak4421,4/29/24 12:50,4 hal tugas penting: 1. Mempersulit 2. Tidak ad yg mudah 3. Uang pajak yg tinggi 4. Pecitraan Ngantuk liat cukai ðŸ¤£,negatif
145,@user-hq3kd9vo8m,4/29/24 12:50,BEA CUKAI = GEMBONG PUNGLI,negatif
146,@joker-dd4yj,4/29/24 12:48,"parah juga, sampe slb di peras juga,",negatif
147,@blueishtae7370,4/29/24 12:48,"aparatnya udah selebrasi tuh senyam senyum kaya jadi super hero ga ada malu...minta maap kek, undur diri kek...atao harakiri kek sebagai bentuk rasa malu  tgg jwb nya sebagai aparat yg hrs melayani masyarakat...",negatif
148,@user-dh9ye6ht4j,4/29/24 12:45,Gila bea cukai,negatif
149,@vuxu8512,4/29/24 12:45,Yang kasih gini mau jadi NEGARA MAJU ðŸ˜,negatif
150,@wayanwangi3625,4/29/24 12:43,"Beacukai bendara sukarno ini memang suka memeras ,trutama tki yg baru pulang ,, yg minim pengetahuan ,",negatif
151,@wedhuzshell3928,4/29/24 12:43,"pengen saya ,mentri2 ganti yg muda, dpr jg yg muda. presiden jg pengen yang muda. karena orang tua sekarang tak punya otak.",negatif
152,@yr56789,4/29/24 12:43,"Banyak alasan sdh muakkk, bubarkan saja itu BAU CUKA",negatif
153,@user-wu5eb3ft7e,4/29/24 12:41,sadar gk sadar kita masih di jajah daerah mana yg mau merdeka,negatif
154,@agusaryadi9859,4/29/24 12:38,"Bea cukai klw di usut sarangnya dedemit,, pegawai bea cukai dan pajak pasti kayaÂ² smwa, padahal klw di lihat dr gaji dan tunjangan gk seberapa.",negatif
155,@lelanangebuono3233,4/29/24 12:37,Pejabat2nya kayak begini bagaimana mewujudkan indonesia emas?â€¦.,negatif
156,@rajaja1932,4/29/24 12:37,"Buat pemangku kebijakan di negeri ini, tolong perhatikan komoditi Getah karet dan pinang, NAIKKAN HARGA GETAH KARET, karena sudah lama murah ðŸ˜¢ðŸ˜¢ðŸ˜¢ðŸ˜¢ðŸ˜¢ðŸ˜¢ðŸ˜¢ðŸ˜¢, Sedangkan harga bahan pokok gimana gitu, Sedangkan biaya hidup skrg ini gimana gitu, Dan juga Naikkan juga harga PINANG, karena sudah lama murah ðŸ˜¢ðŸ˜¢ðŸ˜¢ðŸ˜¢ðŸ˜¢ðŸ˜¢ðŸ˜¢ðŸ˜¢ðŸ˜¢,",negatif
157,@fansa6143,4/29/24 12:36,Udahlah ... Sudah berpuluh-puluh taun namanya oknum beacukai itu memang benar adanya. Udah jadi ASN tp masih aja cr uang ga bener. OKNUM sudah ada dr dulu ...,negatif
158,@arirdhd4911,4/29/24 12:36,tega....,negatif
159,@ed7142,4/29/24 12:34,Wah ðŸ¤¦â€â™‚ï¸,netral
160,@Urang.Kabupaten,4/29/24 12:32,Yang paling lama di hisab di akhirat... Karyawan bea cukai,negatif
161,@carmanwiwi7200,4/29/24 12:32,Paling enak kerja di departement.kerja santai gaji segunungðŸ‘ðŸ’ªðŸ¤²ðŸ™ðŸ˜­,negatif
162,@tr47steetrust-mu7jm,4/29/24 12:32,Anak buahe Bu Sri Mulyani... Sorry to say ya Bu.. Maling semua deh...mbok diganti lah Bu.. Sebelum itu diperiksa semua kekayaan mereka..,negatif
163,@VinafinZ166,4/29/24 12:31,"Pecat aja oknum-oknum bea cukai seperti itu, ganti dgn yg lain aja",negatif
164,@wahyudihariyanto9603,4/29/24 12:30,"Negara lagi butuh dana,ðŸ˜‚",negatif
165,@mobilkeren6619,4/29/24 12:29,"DEMI KEJAR SETORANN....BOSQUE, KUKIRA ORANG2 PINTAR DI EEK***CUK Ternyata...ðŸ˜…ðŸ˜…",negatif
166,@Ramzan_Kadirov222,4/29/24 12:29,Bea cukai? Apasih fungsi merekaðŸ˜‚ðŸ˜‚ðŸ˜‚,negatif
167,@scahyonocahyono6193,4/29/24 12:29,"ACH PURA PURA GA TAHU, BOHONG KALAU GA TAHU. PAYAH.... .",negatif
168,@chabichanelberbagi9811,4/29/24 12:29,"ðŸ˜‚ yg viral cuma beberapa, yg ga viral lebih banyak lagi...tukang palak berseragamðŸ˜…",negatif
169,@stevenhoe451,4/29/24 12:28,"kalau menkeu serius, harus ada yg dipecat dari beacukai. malu sama Indonesia bu",negatif
170,@user-od7fe8we9s,4/29/24 12:28,Dari Batam juga banyak pengiriman barang yg diduga TDK sesuai dgn jenis barang yg diajukan dan ada juga pembayaran pajak barang yg asal asalan.ada negosiasi pajak per konteiner antara bcukai dan pengguna jasa itu BS saya buktikan,negatif
171,@alfatih4460,4/29/24 12:25,Gilaa.. gilaaa. .. bea cukai,negatif
172,@juniansyah_bani,4/29/24 12:23,Kepemimpinan Presiden Jokowi berhasil menggerakkan proyek infrastruktur besar di seluruhðŸ˜¢,negatif
173,@murniagustina1438,4/29/24 12:23,"Yang korupsi besar""ran santuy Yang sederhana di cekek Kalian waras wahai pemimpin rakyat",negatif
174,@siapaaku7354,4/29/24 12:21,Kalo gak viral ya diam diam saja ðŸ¤£ðŸ¤£ðŸ¤£,negatif
175,@denbei123,4/29/24 12:21,"Sebelum menerapkan pajak ke masyarakat,,wajib buat di audit independen buat para pejabat dan para ASN """"di bea cukai atw instansi terkait,,,,,,,",negatif
176,@SalimHabsyi,4/29/24 12:19,Mna rkyat tmbh miskin,negatif
177,@SalimHabsyi,4/29/24 12:18,Bohong smua itu bea cukai,negatif
178,@CalonMenhan007,4/29/24 12:17,"Apa harus viral dulu baru bisa melayani rakyat?? Sampai Menteri harus turun gunung dulu baru bisa bekerja?? Lucunya lagi penyerahannya difoto2 bak pahlawan seakan ga punya dosa... Barang HIBAH saja DIPERSULIT, apalagi BELI???? Harusnya oknum BC MALU.... dan MUNDUR DARI JABATANNYA bukan BERLAGAK PAHLAWAN. Oooohhhh negeri penuh mafiaaa.....",negatif
179,@azizgamersmotovlog2926,4/29/24 12:15,Bea cukai dtunggu prtanggung jwabanya di akhirat,negatif
180,@blackant2179,4/29/24 12:14,_HAJAR TEROSSSSS KAYA ITU HARUS.._ -kapan lagi-,negatif
181,@CarpeDiem-ww2fk,4/29/24 12:14,Beneran aneh ini bea cukai...sungguh keterlaluan sihðŸ˜¢ðŸ˜¢,negatif
182,@harissyafii4946,4/29/24 12:12,Berapa gaji pegawai bea cukai,negatif
